ID,Name,Img
1948,"Brett's Comic Pile Publishing",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1949,"Absolute Tyrant",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1950,"Rorschach Entertainment",https://comicvine.gamespot.com/api/image/square_avatar/1465750-rorschachentertainment_logo.gif
1952,"Ace Publications Inc",https://comicvine.gamespot.com/api/image/square_avatar/784339-ace_pub.jpg
1953,"Aliwan Comics",https://comicvine.gamespot.com/api/image/square_avatar/794831-aliwan_comics.jpg
1954,"Alamat Comics",https://comicvine.gamespot.com/api/image/square_avatar/794829-alamat_comics.jpg
1955,"Islas Filipinas Publishing Co.",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1956,"INFINITY Publishing",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1957,"Kathang Indio",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1958,"Bad Dog Books",https://comicvine.gamespot.com/api/image/square_avatar/412884-BDB-Semiransparent-Black.png
1959,"Icon Comics",https://comicvine.gamespot.com/api/image/square_avatar/1678727-icon_logo.jpg
1960,"Angry Viking Press",https://comicvine.gamespot.com/api/image/square_avatar/412950-m_3b1c7a9784cbb09282d4ec475c96157b.jpg
1961,"Kadokawa Shoten",https://comicvine.gamespot.com/api/image/square_avatar/414354-large.jpg
1963,"Noble Comics",https://comicvine.gamespot.com/api/image/square_avatar/414941-noble_publisher.jpg
1964,"Possum Press",https://comicvine.gamespot.com/api/image/square_avatar/414960-possum_press.jpg
1965,"Checker Book Publishing Group",https://comicvine.gamespot.com/api/image/square_avatar/415529-Checker_Book_Publishing_Group_Logo.jpg
1966,"Del Rey",https://comicvine.gamespot.com/api/image/square_avatar/417678-Delray.JPG
1967,"Shadowline",https://comicvine.gamespot.com/api/image/square_avatar/667236-logo.jpg
1968,"Broadsword Comics",https://comicvine.gamespot.com/api/image/square_avatar/422998-Photo2.jpg
1969,"Eternal",https://comicvine.gamespot.com/api/image/square_avatar/423275-eternal%20t100.jpg
1970,"Pride Comics",https://comicvine.gamespot.com/api/image/square_avatar/424238-pridecomics.jpg
1971,"Archaia",https://comicvine.gamespot.com/api/image/square_avatar/850629-archaia_logo_1.jpg
1972,"SANS Entertainment Comics",https://comicvine.gamespot.com/api/image/square_avatar/428555-sans%20emblom2%20copy.jpg
1973,"Ambrosia Publishing",https://comicvine.gamespot.com/api/image/square_avatar/429063-apv2_250x250.jpg
1974,"Green Man Press",https://comicvine.gamespot.com/api/image/square_avatar/432469-gmplogo.gif
1975,"Olio",https://comicvine.gamespot.com/api/image/square_avatar/432508-olio2.jpg
1977,"Akita Shoten",https://comicvine.gamespot.com/api/image/square_avatar/6305451-4208377245-642.j.jpg
1978,"TidalWave Productions",https://comicvine.gamespot.com/api/image/square_avatar/6055034-5151991541-418.j.jpg
1979,"Cahaba Producttions",https://comicvine.gamespot.com/api/image/square_avatar/435695-roo.jpg
1980,"CARNIVAL COMICS",https://comicvine.gamespot.com/api/image/square_avatar/6501307-0642699312-d39ba.jpg
1981,"Picturebox",https://comicvine.gamespot.com/api/image/square_avatar/4537941-7255903962-picBo.jpg
1982,"Paradox Press",https://comicvine.gamespot.com/api/image/square_avatar/1881984-paradoxpress.jpg
1983,"Crusade",https://comicvine.gamespot.com/api/image/square_avatar/2569494-crusade_logo.jpg
1984,"Heroic Publishing",https://comicvine.gamespot.com/api/image/square_avatar/1233421-heroic_logo.jpg
1985,"Narwain",https://comicvine.gamespot.com/api/image/square_avatar/638548-narwain.jpg
1986,"Zenescope Entertainment",https://comicvine.gamespot.com/api/image/square_avatar/1287050-grimm_fairy_tales_inferno_1_032.jpg
1987,"Alias Enterprises",https://comicvine.gamespot.com/api/image/square_avatar/446326-95_20080516213426_publisher.jpg
1989,"360ep",https://comicvine.gamespot.com/api/image/square_avatar/2007161-360ep.jpg
1990,"Halloween",https://comicvine.gamespot.com/api/image/square_avatar/448183-no_pic.jpg
